epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
88,498.964,0.85346,0.63266,0.01495,0.00033,0.79956,0.80701,0.8661,0.58546,1.04493,0.62725,0.02804,9e-05,0.00152342,0.00152342,0.00152342
89,504.204,0.9191,0.67416,0.0158,0.00038,0.74748,0.83222,0.84052,0.56167,0.99939,0.70428,0.02635,7e-05,0.00152177,0.00152177,0.00152177
90,509.578,0.94289,0.70278,0.01337,0.00043,0.75033,0.76069,0.80232,0.515,1.20767,0.71497,0.02746,0.00016,0.00152012,0.00152012,0.00152012
91,514.545,0.96629,0.68346,0.01568,0.00038,0.87429,0.7443,0.86085,0.61354,0.94661,0.66757,0.02424,8e-05,0.00151847,0.00151847,0.00151847
92,519.407,0.92195,0.68183,0.01523,0.00038,0.78979,0.76556,0.83906,0.56122,1.01087,0.71774,0.028,7e-05,0.00151682,0.00151682,0.00151682
93,524.182,0.92242,0.65386,0.01238,0.0003,0.76562,0.76547,0.83117,0.58869,0.92306,0.68738,0.02366,5e-05,0.00151517,0.00151517,0.00151517
94,529.126,0.90279,0.62841,0.01327,0.00035,0.80947,0.76392,0.83981,0.54393,1.13897,0.69048,0.02528,8e-05,0.00151352,0.00151352,0.00151352
95,533.944,0.92941,0.67284,0.01208,0.00035,0.82065,0.75366,0.85455,0.5148,1.20533,0.72599,0.02298,0.00015,0.00151187,0.00151187,0.00151187
96,539.147,0.88582,0.61756,0.01234,0.00032,0.8185,0.78054,0.85541,0.60973,0.97678,0.59292,0.03249,5e-05,0.00151022,0.00151022,0.00151022
97,544.259,0.88232,0.61917,0.01206,0.00025,0.79982,0.81347,0.85414,0.56566,1.04535,0.6209,0.02898,7e-05,0.00150857,0.00150857,0.00150857
98,549.084,0.91197,0.61117,0.01232,0.00033,0.82648,0.78726,0.85978,0.57011,0.97602,0.61836,0.02143,6e-05,0.00150692,0.00150692,0.00150692
99,554.093,0.8813,0.6222,0.01339,0.00034,0.81632,0.7775,0.85342,0.60089,0.90383,0.68029,0.02272,6e-05,0.00150527,0.00150527,0.00150527
100,558.957,0.8795,0.61325,0.01214,0.00031,0.85037,0.80076,0.86639,0.60496,0.91528,0.64934,0.02327,6e-05,0.00150362,0.00150362,0.00150362
101,564.149,0.81317,0.57633,0.01053,0.00031,0.84669,0.7917,0.87689,0.64401,0.89792,0.57202,0.02469,5e-05,0.00150197,0.00150197,0.00150197
102,568.983,0.83333,0.5771,0.01127,0.00034,0.84056,0.80493,0.87508,0.63889,0.87185,0.52994,0.02403,5e-05,0.00150032,0.00150032,0.00150032
103,574.07,0.84613,0.58197,0.01283,0.00036,0.81211,0.82017,0.87162,0.61732,0.87303,0.58516,0.02223,6e-05,0.00149867,0.00149867,0.00149867
104,578.867,0.92194,0.6136,0.01502,0.0003,0.79913,0.80305,0.85016,0.5709,1.01541,0.65918,0.02671,8e-05,0.00149702,0.00149702,0.00149702
105,584.051,0.89642,0.59551,0.01468,0.00027,0.83788,0.8061,0.87527,0.64246,0.86526,0.57967,0.02572,5e-05,0.00149537,0.00149537,0.00149537
106,588.884,0.86672,0.6246,0.01313,0.00029,0.81353,0.81716,0.86744,0.61681,0.84902,0.5809,0.02393,5e-05,0.00149372,0.00149372,0.00149372
107,593.877,0.85402,0.61458,0.01081,0.00037,0.81796,0.81401,0.87682,0.60907,0.95295,0.59017,0.02014,8e-05,0.00149207,0.00149207,0.00149207
108,599.198,0.83609,0.56325,0.01174,0.00038,0.81124,0.77805,0.86086,0.6208,0.87939,0.58331,0.02247,6e-05,0.00149041,0.00149041,0.00149041
109,604.465,0.80922,0.56982,0.01141,0.00026,0.80859,0.81108,0.85466,0.60921,0.89071,0.62669,0.02343,6e-05,0.00148876,0.00148876,0.00148876
110,609.427,0.86929,0.58584,0.01066,0.00032,0.876,0.76418,0.87246,0.64008,0.91475,0.58863,0.02169,7e-05,0.00148711,0.00148711,0.00148711
111,614.545,0.9631,0.62556,0.01199,0.00054,0.78674,0.80315,0.84076,0.57434,0.99755,0.63437,0.02256,4e-05,0.00148546,0.00148546,0.00148546
112,619.445,0.87781,0.6194,0.011,0.00035,0.84143,0.80844,0.86575,0.60343,0.95578,0.58618,0.02058,5e-05,0.00148381,0.00148381,0.00148381
113,624.819,0.8181,0.55283,0.01115,0.00028,0.80122,0.82973,0.86181,0.57661,1.01006,0.6129,0.0226,0.0001,0.00148216,0.00148216,0.00148216
114,629.665,0.92262,0.59351,0.01084,0.00049,0.8135,0.83705,0.87813,0.5789,1.07306,0.57985,0.02504,9e-05,0.00148051,0.00148051,0.00148051
115,634.987,0.8658,0.56135,0.01082,0.00033,0.81273,0.82393,0.86874,0.57171,1.08448,0.5962,0.0274,0.00013,0.00147886,0.00147886,0.00147886
116,640.473,0.8779,0.5504,0.00993,0.00045,0.7889,0.8565,0.87446,0.63413,0.88716,0.53596,0.02303,7e-05,0.00147721,0.00147721,0.00147721
117,645.717,0.83353,0.54027,0.0108,0.00027,0.85963,0.82422,0.88772,0.61387,0.98311,0.52039,0.0217,7e-05,0.00147556,0.00147556,0.00147556
118,650.745,0.84113,0.56232,0.01149,0.00026,0.85071,0.80611,0.8668,0.62033,0.86433,0.58055,0.0214,6e-05,0.00147391,0.00147391,0.00147391
119,655.865,0.8048,0.53362,0.01009,0.00033,0.82503,0.81873,0.86618,0.59389,1.02371,0.6015,0.02108,7e-05,0.00147226,0.00147226,0.00147226
120,660.904,0.87403,0.5372,0.0097,0.00036,0.84786,0.8216,0.88044,0.62572,0.92025,0.52259,0.02094,7e-05,0.00147061,0.00147061,0.00147061
121,666.406,0.8261,0.55503,0.01056,0.00042,0.87573,0.78232,0.8799,0.65667,0.87535,0.52756,0.02122,5e-05,0.00146896,0.00146896,0.00146896
122,671.392,0.8119,0.54115,0.01105,0.00034,0.89938,0.78346,0.88225,0.66594,0.83271,0.4978,0.0201,4e-05,0.00146731,0.00146731,0.00146731
123,676.481,0.75666,0.51061,0.0104,0.00023,0.85781,0.82327,0.88349,0.65715,0.82487,0.48291,0.0202,4e-05,0.00146566,0.00146566,0.00146566
124,681.793,0.80877,0.5428,0.01047,0.00027,0.84152,0.83003,0.88077,0.5678,1.0791,0.60806,0.02609,0.00012,0.00146401,0.00146401,0.00146401
125,686.856,0.83346,0.56561,0.01073,0.00045,0.82603,0.77008,0.85362,0.63056,0.8379,0.55263,0.02071,6e-05,0.00146236,0.00146236,0.00146236
126,692.363,0.91285,0.58504,0.01137,0.00047,0.83673,0.81008,0.87449,0.65759,0.82091,0.53559,0.01931,5e-05,0.00146071,0.00146071,0.00146071
127,697.333,0.79739,0.54943,0.00942,0.00034,0.81814,0.8135,0.8824,0.6609,0.80359,0.5256,0.01876,5e-05,0.00145906,0.00145906,0.00145906
128,702.676,0.8338,0.55086,0.01037,0.00033,0.8145,0.84367,0.88113,0.61492,0.9521,0.52966,0.01897,8e-05,0.00145741,0.00145741,0.00145741
129,708.047,0.88463,0.5865,0.01001,0.00036,0.83986,0.82754,0.87269,0.6133,0.80612,0.5409,0.01988,6e-05,0.00145576,0.00145576,0.00145576
130,713.271,0.89605,0.57943,0.01045,0.00046,0.86243,0.83379,0.88428,0.63536,0.79687,0.51442,0.01945,5e-05,0.00145411,0.00145411,0.00145411
131,718.165,0.79308,0.53655,0.00998,0.00033,0.84466,0.80494,0.87239,0.62068,0.86337,0.5283,0.01954,6e-05,0.00145246,0.00145246,0.00145246
132,723.505,0.91747,0.58013,0.01207,0.00046,0.88909,0.83201,0.89431,0.66117,0.87165,0.48651,0.01967,5e-05,0.00145081,0.00145081,0.00145081
133,728.57,0.79902,0.53898,0.01214,0.00034,0.87585,0.81326,0.87381,0.63924,0.79059,0.4985,0.0185,4e-05,0.00144916,0.00144916,0.00144916
134,733.704,0.76567,0.5234,0.01027,0.00028,0.84796,0.84609,0.88045,0.65879,0.75876,0.49671,0.01725,4e-05,0.00144751,0.00144751,0.00144751
135,739.29,0.81153,0.50796,0.01003,0.00036,0.86943,0.84172,0.89006,0.67028,0.76751,0.4724,0.01957,3e-05,0.00144586,0.00144586,0.00144586
136,744.927,0.78281,0.51777,0.01148,0.00031,0.82872,0.88288,0.8951,0.6555,0.80824,0.46552,0.01964,4e-05,0.00144421,0.00144421,0.00144421
137,750.07,0.77075,0.52221,0.01041,0.00027,0.83724,0.86991,0.89773,0.6596,0.77543,0.45456,0.0215,4e-05,0.00144256,0.00144256,0.00144256
138,755.592,0.76294,0.51593,0.00984,0.00026,0.84198,0.84906,0.88411,0.64286,0.85263,0.49889,0.01725,6e-05,0.0014409,0.0014409,0.0014409
139,760.937,0.84435,0.55478,0.0101,0.00033,0.87214,0.80428,0.87457,0.62672,0.81028,0.49034,0.02028,4e-05,0.00143925,0.00143925,0.00143925
140,765.791,0.74204,0.49772,0.0098,0.00025,0.83365,0.84135,0.87657,0.64037,0.79467,0.50341,0.02015,3e-05,0.0014376,0.0014376,0.0014376
141,770.739,0.76101,0.49588,0.01061,0.00031,0.89019,0.80277,0.89369,0.6644,0.82487,0.49569,0.02211,3e-05,0.00143595,0.00143595,0.00143595
142,775.973,0.77709,0.50992,0.01086,0.00029,0.88771,0.84561,0.88957,0.56806,1.07712,0.57719,0.01942,0.00013,0.0014343,0.0014343,0.0014343
143,781.044,0.81947,0.5025,0.01173,0.00026,0.8744,0.80066,0.88451,0.65271,0.76998,0.51003,0.01898,4e-05,0.00143265,0.00143265,0.00143265
144,786.107,0.83826,0.51985,0.01332,0.00029,0.88232,0.7845,0.87531,0.60759,0.98805,0.56975,0.02102,0.00011,0.001431,0.001431,0.001431
145,791.332,0.91857,0.56071,0.0144,0.0004,0.83313,0.76394,0.85332,0.64598,0.8244,0.54786,0.02314,4e-05,0.00142935,0.00142935,0.00142935
146,796.669,0.90857,0.56065,0.01303,0.00036,0.85941,0.7885,0.86804,0.59743,0.91731,0.56089,0.02397,6e-05,0.0014277,0.0014277,0.0014277
147,801.683,0.78912,0.50445,0.01116,0.00028,0.81163,0.83755,0.86746,0.6214,0.84472,0.52074,0.02062,4e-05,0.00142605,0.00142605,0.00142605
148,806.668,0.79633,0.51021,0.01035,0.00029,0.82593,0.84548,0.87561,0.61141,0.90648,0.5423,0.02158,5e-05,0.0014244,0.0014244,0.0014244
149,812.167,0.79261,0.50607,0.01051,0.00027,0.84675,0.85467,0.89114,0.5875,1.12086,0.51805,0.021,0.00012,0.00142275,0.00142275,0.00142275
150,817.386,0.81324,0.52072,0.00985,0.00028,0.88065,0.82362,0.88632,0.64055,0.80858,0.50697,0.01937,5e-05,0.0014211,0.0014211,0.0014211
