epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
116,629.698,1.10706,0.69489,0.01428,0.00088,0.7834,0.77607,0.83905,0.57903,1.05044,0.70597,0.0258,0.0001,0.00147721,0.00147721,0.00147721
117,634.681,1.0465,0.66792,0.01407,0.00069,0.86758,0.75643,0.85088,0.57479,1.03615,0.70131,0.03117,0.0001,0.00147556,0.00147556,0.00147556
118,640.07,1.09359,0.6587,0.01629,0.00069,0.77229,0.83441,0.86458,0.56854,1.04812,0.63064,0.02225,0.0001,0.00147391,0.00147391,0.00147391
119,644.87,1.06897,0.65469,0.01459,0.00072,0.78662,0.84736,0.86992,0.57173,1.06146,0.63081,0.02626,0.00013,0.00147226,0.00147226,0.00147226
120,650.115,1.09239,0.6508,0.01442,0.00086,0.80337,0.84794,0.86291,0.54495,1.04959,0.61932,0.0253,0.00012,0.00147061,0.00147061,0.00147061
121,655.464,1.1162,0.69372,0.01673,0.00093,0.83574,0.80123,0.87163,0.57537,1.00798,0.6448,0.02625,0.0001,0.00146896,0.00146896,0.00146896
122,660.278,1.06423,0.65023,0.01567,0.00077,0.82453,0.85039,0.87622,0.60257,0.98948,0.63285,0.02568,9e-05,0.00146731,0.00146731,0.00146731
123,665.367,1.00805,0.6146,0.01423,0.00074,0.83773,0.82754,0.85513,0.60044,0.98813,0.57633,0.0237,0.0001,0.00146566,0.00146566,0.00146566
124,670.18,1.03714,0.64074,0.01367,0.00087,0.79398,0.83984,0.85019,0.59971,0.96089,0.61801,0.02456,8e-05,0.00146401,0.00146401,0.00146401
125,675.308,1.05095,0.68559,0.01264,0.00084,0.80663,0.82199,0.83299,0.53869,1.0125,0.67075,0.02275,0.0001,0.00146236,0.00146236,0.00146236
126,680.49,1.04329,0.65828,0.01387,0.00075,0.8061,0.83161,0.85881,0.58407,0.95069,0.68428,0.02223,9e-05,0.00146071,0.00146071,0.00146071
